"item","avg_rating","rank","rating_sd","number_ratings","character"
"main character (not side character)",90.8,174,17.6,61,"Luke Skywalker"
"loyal (not traitorous)",90.5,229,14.6,972,"Luke Skywalker"
"heroic (not villainous)",90,118,14.1,1080,"Luke Skywalker"
"important (not irrelevant)",86.6,304,19.4,480,"Luke Skywalker"
"kind (not cruel)",86.4,273,14.2,1020,"Luke Skywalker"
"motivated (not unmotivated)",86.1,549,16,80,"Luke Skywalker"
"active (not slothful)",85.7,287,14.4,876,"Luke Skywalker"
"human (not animalistic)",84.9,169,16.8,920,"Luke Skywalker"
"persistent (not quitter)",84.9,733,17.6,296,"Luke Skywalker"
"love-focused (not money-focused)",84.8,292,16.6,112,"Luke Skywalker"
"protagonist (not antagonist)",84.6,207,23.2,105,"Luke Skywalker"
"soulful (not soulless)",84,325,16.7,242,"Luke Skywalker"
"🤺 (not 🏌)",83.8,222,20.6,297,"Luke Skywalker"
"curious (not apathetic)",83.5,122,16.1,1019,"Luke Skywalker"
"white knight (not bad boy)",83.5,144,18.4,102,"Luke Skywalker"
"brave (not careful)",83.2,139,16,1073,"Luke Skywalker"
"driven (not unambitious)",83,620,19.2,933,"Luke Skywalker"
"devoted (not unfaithful)",82.9,563,23.3,64,"Luke Skywalker"
"young (not old)",82.7,288,16.6,985,"Luke Skywalker"
"🧗 (not 🛌)",82.5,262,20.7,471,"Luke Skywalker"
"adventurous (not stick-in-the-mud)",82.3,276,20.1,850,"Luke Skywalker"
"flower child (not goth)",81.9,246,18.6,90,"Luke Skywalker"
"emotional (not unemotional)",81.8,320,16.5,99,"Luke Skywalker"
"egalitarian (not racist)",81.4,637,19.4,297,"Luke Skywalker"
"healthy (not sickly)",80.6,310,19.7,1070,"Luke Skywalker"
"poor (not rich)",80.4,122,17.8,1057,"Luke Skywalker"
"😇 (not 😈)",80.4,190,20,304,"Luke Skywalker"
"one-faced (not two-faced)",80.2,334,24.4,142,"Luke Skywalker"
"open to new experinces (not uncreative)",79.8,417,21.2,1036,"Luke Skywalker"
"wholesome (not salacious)",79.6,240,18.6,279,"Luke Skywalker"
"country-bumpkin (not city-slicker)",79.3,110,22.9,320,"Luke Skywalker"
"🤠 (not 🤑)",79.3,194,22.3,271,"Luke Skywalker"
"chosen one (not everyman)",79.3,118,24.8,88,"Luke Skywalker"
"honorable (not cunning)",79.2,213,20.2,1090,"Luke Skywalker"
"pure (not debased)",79.2,176,18.8,993,"Luke Skywalker"
"explorer (not builder)",78.5,168,20.3,1101,"Luke Skywalker"
"🌟 (not 💩)",78.4,617,24,304,"Luke Skywalker"
"not genocidal (not genocidal)",78.1,529,29.4,68,"Luke Skywalker"
"angelic (not demonic)",77.9,287,16.5,968,"Luke Skywalker"
"empath (not psychopath)",77.8,401,23,142,"Luke Skywalker"
"go-getter (not slugabed)",77.4,691,21.5,227,"Luke Skywalker"
"ambitious (not realistic)",77.4,302,21.9,120,"Luke Skywalker"
"vanilla (not kinky)",77.2,166,23.3,933,"Luke Skywalker"
"chivalrous (not businesslike)",77.1,126,22.4,117,"Luke Skywalker"
"treasure (not trash)",77,753,22.6,303,"Luke Skywalker"
"blue-collar (not ivory-tower)",76.8,205,23.8,927,"Luke Skywalker"
"democratic (not authoritarian)",76.7,147,22.7,1003,"Luke Skywalker"
"diligent (not lazy)",76.6,1097,20.8,1015,"Luke Skywalker"
"clean (not perverted)",76.4,535,21.4,114,"Luke Skywalker"
"warm (not cold)",76.2,374,19.8,835,"Luke Skywalker"
"rural (not urban)",76.2,113,25.8,426,"Luke Skywalker"
"involved (not remote)",75.7,385,24,999,"Luke Skywalker"
"attractive (not repulsive)",75.7,777,19.6,1030,"Luke Skywalker"
"idealist (not realist)",75.6,200,22.9,272,"Luke Skywalker"
"emotional (not logical)",75.4,324,20.4,1010,"Luke Skywalker"
"provincial (not cosmopolitan)",75.1,116,25.5,844,"Luke Skywalker"
"instinctual (not reasoned)",75,336,21.6,1039,"Luke Skywalker"
"resistant (not resigned)",74.9,396,23,1011,"Luke Skywalker"
"giving (not receiving)",74.5,413,23,85,"Luke Skywalker"
"extraordinary (not mundane)",74.3,572,24.5,1047,"Luke Skywalker"
"altruistic (not selfish)",74.1,402,23.5,1100,"Luke Skywalker"
"existentialist (not nihilist)",73.7,121,22,174,"Luke Skywalker"
"proletariat (not bourgeoisie)",73.6,237,26,867,"Luke Skywalker"
"beautiful (not ugly)",73.6,990,22.6,233,"Luke Skywalker"
"nurturing (not poisonous)",73.6,546,21.4,332,"Luke Skywalker"
"melee (not ranged)",73.5,60,27.9,116,"Luke Skywalker"
"transparent (not machiavellian)",73.5,160,24.5,71,"Luke Skywalker"
"genuine (not sarcastic)",73.4,342,24.5,1038,"Luke Skywalker"
"patriotic (not unpatriotic)",73.3,458,25.5,288,"Luke Skywalker"
"emancipated (not enslaved)",73.3,441,22.2,968,"Luke Skywalker"
"doer (not thinker)",73.3,426,25.1,130,"Luke Skywalker"
"vibrant (not geriatric)",73.2,576,21.7,127,"Luke Skywalker"
"spontaneous (not scheduled)",73.1,394,22.8,995,"Luke Skywalker"
"tasteful (not lewd)",73,433,21,960,"Luke Skywalker"
"devout (not heathen)",73,245,21.8,954,"Luke Skywalker"
"disarming (not creepy)",73,572,19.3,396,"Luke Skywalker"
"trusting (not suspicious)",72.9,216,22.7,1041,"Luke Skywalker"
"rebellious (not obedient)",72.7,655,23.5,933,"Luke Skywalker"
"generous (not stingy)",72.6,512,22.7,139,"Luke Skywalker"
"civilized (not barbaric)",72.4,729,20.4,987,"Luke Skywalker"
"impulsive (not cautious)",72.4,444,22.9,953,"Luke Skywalker"
"🙋‍♂️ (not 🙅‍♂️)",72.4,306,26.1,272,"Luke Skywalker"
"straightforward (not cryptic)",72.2,446,25.7,1043,"Luke Skywalker"
"optimistic (not pessimistic)",72.2,345,25.8,960,"Luke Skywalker"
"resourceful (not helpless)",72.2,1033,24.5,233,"Luke Skywalker"
"interested (not bored)",72.1,584,23.6,105,"Luke Skywalker"
"reassuring (not fearmongering)",72.1,415,28.4,75,"Luke Skywalker"
"innocent (not worldly)",72,145,23.1,1059,"Luke Skywalker"
"rock (not rap)",71.9,869,24.2,82,"Luke Skywalker"
"dog person (not cat person)",71.9,312,28.7,78,"Luke Skywalker"
"charismatic (not uninspiring)",71.9,850,23.9,887,"Luke Skywalker"
"complimentary (not insulting)",71.8,418,22.1,215,"Luke Skywalker"
"frugal (not lavish)",71.6,323,22.3,926,"Luke Skywalker"
"fixable (not unfixable)",71.6,271,24.2,114,"Luke Skywalker"
"impatient (not patient)",71.6,581,24.3,372,"Luke Skywalker"
"works hard (not plays hard)",71.5,687,23.4,1002,"Luke Skywalker"
"🧢 (not 🎩)",71.5,397,27.9,270,"Luke Skywalker"
"freelance (not corporate)",71.5,587,27.4,125,"Luke Skywalker"
"badass (not weakass)",71,937,24.1,103,"Luke Skywalker"
"expressive (not stoic)",70.9,533,23.6,984,"Luke Skywalker"
"😊 (not 🤣)",70.8,504,25.9,317,"Luke Skywalker"
"English (not German)",70.8,938,28.6,123,"Luke Skywalker"
"fast (not slow)",70.7,739,22.2,944,"Luke Skywalker"
"overachiever (not underachiever)",70.6,966,25.5,137,"Luke Skywalker"
"👨‍🔧 (not 👨‍⚕️)",70.2,442,27.2,288,"Luke Skywalker"
"dramatic (not no-nonsense)",70.2,455,23.3,392,"Luke Skywalker"
"opinionated (not neutral)",70.1,1164,25.1,133,"Luke Skywalker"
"hurried (not leisurely)",70,335,22.5,1061,"Luke Skywalker"
"dramatic (not comedic)",70,747,24.7,109,"Luke Skywalker"
"sensitive (not thick-skinned)",69.9,324,21.2,937,"Luke Skywalker"
"family-first (not work-first)",69.8,503,26.9,1111,"Luke Skywalker"
"ADHD (not OCD)",69.8,294,26.1,77,"Luke Skywalker"
"western (not eastern)",69.7,384,27.7,376,"Luke Skywalker"
"naive (not paranoid)",69.6,180,23.3,85,"Luke Skywalker"
"spelunker (not claustrophobic)",69.4,372,26.5,129,"Luke Skywalker"
"prestigious (not disreputable)",69.4,613,23.8,918,"Luke Skywalker"
"moody (not stable)",69.1,728,23.6,1015,"Luke Skywalker"
"summer (not winter)",69,509,30.6,75,"Luke Skywalker"
"gullible (not cynical)",69,243,22.7,74,"Luke Skywalker"
"respectful (not rude)",68.9,665,23.6,1014,"Luke Skywalker"
"head@clouds (not down2earth)",68.9,393,26,965,"Luke Skywalker"
"sporty (not bookish)",68.8,388,24.4,868,"Luke Skywalker"
"🐐 (not 🦒)",68.8,386,27.9,357,"Luke Skywalker"
"believable (not poorly-written)",68.8,1154,23.9,116,"Luke Skywalker"
"prideful (not envious)",68.8,791,23.5,151,"Luke Skywalker"
"liberal (not conservative)",68.7,600,26.4,256,"Luke Skywalker"
"child free (not pronatalist)",68.6,578,28.9,781,"Luke Skywalker"
"romantic (not dispassionate)",68.6,789,27.6,129,"Luke Skywalker"
"bold (not shy)",68.5,1261,24.1,1101,"Luke Skywalker"
"gendered (not androgynous)",68.5,1282,28.7,383,"Luke Skywalker"
"thrifty (not extravagant)",68.5,372,25.6,106,"Luke Skywalker"
"crafty (not scholarly)",68.4,621,23.1,1158,"Luke Skywalker"
"legit (not scrub)",68.3,944,25.9,392,"Luke Skywalker"
"vegan (not cannibal)",68.2,481,24.2,115,"Luke Skywalker"
"tense (not relaxed)",68.1,1040,21,980,"Luke Skywalker"
"whippersnapper (not sage)",68.1,263,25.6,114,"Luke Skywalker"
"bold (not serious)",68.1,541,24.6,1004,"Luke Skywalker"
"opinionated (not jealous)",68.1,894,24.1,86,"Luke Skywalker"
"thin (not thick)",68,549,22.4,730,"Luke Skywalker"
"fantastical (not realistic)",67.8,393,23.5,118,"Luke Skywalker"
"competent (not incompetent)",67.7,1183,23.9,896,"Luke Skywalker"
"straight (not queer)",67.7,999,30.3,409,"Luke Skywalker"
"🤔 (not 🤫)",67.7,345,26.9,230,"Luke Skywalker"
"gamer (not non-gamer)",67.7,300,27.2,130,"Luke Skywalker"
"princess (not queen)",67.7,256,33,82,"Luke Skywalker"
"open-minded (not close-minded)",67.6,600,24.1,1131,"Luke Skywalker"
"inspiring (not cringeworthy)",67.6,609,26.1,226,"Luke Skywalker"
"🎃 (not 💀)",67.6,348,30.4,104,"Luke Skywalker"
"theist (not atheist)",67.5,243,28.3,219,"Luke Skywalker"
"frenzied (not sleepy)",67.4,1009,19.8,134,"Luke Skywalker"
"unpolished (not eloquent)",67.3,318,23.7,801,"Luke Skywalker"
"confidential (not gossiping)",67.3,900,25.9,1085,"Luke Skywalker"
"biased (not impartial)",67.2,723,24.3,934,"Luke Skywalker"
"efficient (not overprepared)",67.2,622,23.6,138,"Luke Skywalker"
"spontaneous (not deliberate)",67.1,369,26.6,918,"Luke Skywalker"
"mighty (not puny)",67,897,23.1,997,"Luke Skywalker"
"outsider (not insider)",67,422,26.4,755,"Luke Skywalker"
"masculine (not feminine)",66.8,875,21.7,1071,"Luke Skywalker"
"French (not Russian)",66.6,498,24.8,122,"Luke Skywalker"
"reasonable (not deranged)",66.6,675,24,236,"Luke Skywalker"
"awkward (not suspicious)",66.5,306,23.1,981,"Luke Skywalker"
"workaholic (not slacker)",66.5,1190,24.9,251,"Luke Skywalker"
"astonishing (not methodical)",66.4,286,25.2,920,"Luke Skywalker"
"sweet (not bitter)",66.3,578,23.7,1025,"Luke Skywalker"
"🐿 (not 🦇)",66.3,625,29,226,"Luke Skywalker"
"📈 (not 📉)",66.1,673,30.6,273,"Luke Skywalker"
"unprepared (not hoarder)",66,205,22,878,"Luke Skywalker"
"wooden (not plastic)",65.9,800,26.1,93,"Luke Skywalker"
"morning lark (not night owl)",65.8,314,26.1,606,"Luke Skywalker"
"innocent (not jaded)",65.8,264,25.3,93,"Luke Skywalker"
"💝 (not 💔)",65.7,515,29.6,392,"Luke Skywalker"
"🚴 (not 🏋️‍♂️)",65.6,952,29.7,247,"Luke Skywalker"
"cheesy (not chic)",65.6,539,26.8,76,"Luke Skywalker"
"soft (not hard)",65.5,507,22.1,955,"Luke Skywalker"
"utilitarian (not decorative)",65.4,707,26.2,204,"Luke Skywalker"
"feminist (not sexist)",65.4,981,23.8,329,"Luke Skywalker"
"epic (not deep)",65.4,368,24.8,126,"Luke Skywalker"
"orange (not purple)",65.3,336,27.5,823,"Luke Skywalker"
"Swedish (not Italian)",65.3,380,30,100,"Luke Skywalker"
"triggered (not trolling)",65.2,704,25.9,108,"Luke Skywalker"
"stubborn (not accommodating)",65.1,1066,29.4,135,"Luke Skywalker"
"open-book (not secretive)",65.1,305,27.3,136,"Luke Skywalker"
"sunny (not gloomy)",64.9,524,23.1,127,"Luke Skywalker"
"physical (not intellectual)",64.8,396,23.6,1009,"Luke Skywalker"
"mild (not spicy)",64.7,328,26.2,1081,"Luke Skywalker"
"chaste (not lustful)",64.6,363,25.3,960,"Luke Skywalker"
"unambiguous (not mysterious)",64.6,573,27.5,1071,"Luke Skywalker"
"expressive (not monotone)",64.6,809,27.6,81,"Luke Skywalker"
"neurotypical (not autistic)",64.4,1053,26.3,901,"Luke Skywalker"
"introspective (not not introspective)",64.4,821,27.3,382,"Luke Skywalker"
"resolute (not wavering)",64.4,924,26.8,286,"Luke Skywalker"
"minimalist (not pack rat)",64.4,488,28.2,268,"Luke Skywalker"
"spiritual (not skeptical)",64.3,241,27.4,1066,"Luke Skywalker"
"soft (not hard)",64.3,528,23.6,238,"Luke Skywalker"
"juvenile (not mature)",64.3,507,24.1,236,"Luke Skywalker"
"fresh (not stinky)",64.3,1000,26.5,406,"Luke Skywalker"
"sane (not crazy)",64.2,531,26.3,285,"Luke Skywalker"
"technophile (not luddite)",64.1,410,25.9,925,"Luke Skywalker"
"trusting (not charming)",64,366,26.6,896,"Luke Skywalker"
"fortunate (not unlucky)",63.9,409,27,964,"Luke Skywalker"
"vintage (not trendy)",63.8,1014,29.2,106,"Luke Skywalker"
"equitable (not hypocritical)",63.7,629,26.6,306,"Luke Skywalker"
"forgiving (not vengeful)",63.5,666,28.7,987,"Luke Skywalker"
"accepting (not judgemental)",63.5,567,27.2,690,"Luke Skywalker"
"folksy (not presidential)",63.5,515,27.5,120,"Luke Skywalker"
"obsessed (not aloof)",63.4,803,25.3,908,"Luke Skywalker"
"🐮 (not 🐷)",63.4,490,27.4,359,"Luke Skywalker"
"preppy (not punk rock)",63,839,29.1,129,"Luke Skywalker"
"short (not tall)",62.9,483,21.7,1097,"Luke Skywalker"
"anxious (not calm)",62.8,774,22.9,941,"Luke Skywalker"
"rustic (not cultured)",62.8,365,28.9,80,"Luke Skywalker"
"😎 (not 🧐)",62.7,727,30,285,"Luke Skywalker"
"loveable (not punchable)",62.7,888,29.2,125,"Luke Skywalker"
"vulnerable (not armoured)",62.5,387,24.5,886,"Luke Skywalker"
"self-improving (not self-destructive)",62.3,513,28.6,125,"Luke Skywalker"
"rugged (not refined)",62.2,590,24,1049,"Luke Skywalker"
"often crying (not never cries)",61.9,518,25.8,63,"Luke Skywalker"
"high IQ (not low IQ)",61.8,1428,21.8,863,"Luke Skywalker"
"deep (not shallow)",61.8,899,26,391,"Luke Skywalker"
"demanding (not unchallenging)",61.8,1278,29.6,144,"Luke Skywalker"
"interesting (not tiresome)",61.6,1147,26.8,1011,"Luke Skywalker"
"🥰 (not 🙃)",61.6,674,32.5,388,"Luke Skywalker"
"exuberant (not subdued)",61.6,771,27.3,114,"Luke Skywalker"
"monastic (not hedonist)",61.5,315,25.9,193,"Luke Skywalker"
"assertive (not passive)",61.4,1164,26.1,788,"Luke Skywalker"
"lenient (not strict)",61.3,585,23.6,924,"Luke Skywalker"
"flexible (not rigid)",61.2,467,24.8,1023,"Luke Skywalker"
"good-humored (not angry)",61,826,23.7,857,"Luke Skywalker"
"proper (not scandalous)",61,704,27,941,"Luke Skywalker"
"grateful (not entitled)",61,672,28.5,115,"Luke Skywalker"
"creative (not conventional)",60.9,753,27.1,1046,"Luke Skywalker"
"sober (not indulgent)",60.9,553,28.5,978,"Luke Skywalker"
"high-tech (not low-tech)",60.9,672,27.7,993,"Luke Skywalker"
"pointed (not random)",60.8,1225,27.3,103,"Luke Skywalker"
